Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.23	4	2	0	threerisk	Low	3	1.683	0.833	1	1	7	4	0.394	40.117	41.333	46.067	47.75	5	bl	bl	3.833333	2	9	0	Left	470	973	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	5	2	1	threerisk	High	3	1.5	0.617	<n/a>	0	7	7	0.394	53.233	61.817	66.567	68.067	5	bl	bl	3.666667	2	6	0	Right	1431	1431	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	6	2	1	threerisk	High	3	1.583	0.617	<n/a>	1	7	7	0.394	75.617	78.883	83.617	85.2	5	bl	bl	3.733333	2	6	0	Right	2351	2351	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	7	2	1	threerisk	High	3	1.767	0.85	<n/a>	1	8	8	0.394	92.817	96.4	101.133	102.9	5	bl	bl	3.916667	2	6	0	Right	2440	2440	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	8	2	1	threerisk	High	3	1.317	1.017	<n/a>	0	8	8	0.394	110.7	114.483	119.217	120.533	5	bl	bl	3.466667	2	6	0	Right	1888	1888	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	9	2	1	threerisk	High	3	1.333	0.417	<n/a>	1	5	5	0.394	128.483	132.8	137.517	138.85	5	bl	bl	3.466667	2	6	0	Right	2352	2352	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	10	2	0	threerisk	High	3	1.933	0.633	1	0	6	5	0.394	146.2	149.817	154.55	156.483	5	bl	bl	4.1	0	6	0	Right	1874	2140	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	11	2	1	threerisk	Medium	3	1.8	0.767	<n/a>	0	8	8	0.394	163.55	163.95	168.667	170.467	5	bl	bl	3.933333	0	2	0	Middle	1763	1763	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	12	2	0	threerisk	Low	3	1.667	0.95	1	0	6	8	0.394	175.717	176.35	181.05	182.717	5	bl	bl	3.8	0	4	0	Left	181	1188	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	13	2	1	threerisk	Low	3	0.867	1.55	<n/a>	0	6	6	0.394	186.85	187.783	192.5	193.367	5	bl	bl	3.016667	0	5	0	Left	1420	1420	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	14	2	0	threerisk	Low	3	1.033	0.867	1	1	4	6	0.394	198.05	200.467	205.217	206.25	5	bl	bl	3.2	0	6	0	Left	1082	656	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	15	2	0	threerisk	Low	3	0.65	0.967	1	1	5	7	0.394	210.167	213.083	217.817	218.467	5	bl	bl	2.8	0	7	0	Left	839	587	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	16	2	1	threerisk	Medium	3	1.733	0.45	<n/a>	0	5	5	0.394	222.383	223.233	227.933	229.667	5	bl	bl	3.866667	2	8	0	Middle	2327	2327	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	17	2	1	threerisk	High	3	1.433	0.567	<n/a>	1	5	5	0.394	235.417	240.6	245.317	246.75	5	bl	bl	3.583333	2	6	0	Right	1717	1717	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	18	2	1	threerisk	High	3	1.017	0.917	<n/a>	1	4	4	0.394	254.3	257.75	261.467	262.483	5	bl	bl	2.166667	2	6	0	Right	1797	1797	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	19	2	1	threerisk	High	3	1.55	0.633	<n/a>	0	8	8	0.394	270.35	272.85	277.567	279.117	5	bl	bl	3.7	2	6	0	Right	841	841	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	20	2	1	threerisk	High	3	0.683	0.4	<n/a>	0	4	4	0.394	286.683	289.85	294.583	295.267	5	bl	bl	2.85	2	6	0	Right	889	889	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	21	2	1	threerisk	High	3	0.85	0.5	<n/a>	0	8	8	0.394	302.6	308.9	313.617	314.467	5	bl	bl	3	2	6	0	Right	364	364	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	22	2	0	threerisk	Low	3	0.9	0.467	1	0	4	5	0.394	321.867	325.283	330.017	330.917	5	bl	bl	3.066667	0	6	0	Left	493	1899	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	23	2	1	threerisk	High	3	0.9	0.467	<n/a>	0	8	8	0.394	334.35	335.133	339.85	340.75	5	bl	bl	3.05	2	7	0	Right	594	594	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	24	2	1	threerisk	High	3	1.55	0.683	<n/a>	1	6	6	0.394	348.233	352.717	357.433	358.983	5	bl	bl	3.683333	2	6	0	Right	1043	1043	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.23	25	2	1	threerisk	High	3	1.083	0.65	<n/a>	1	7	7	0.394	366.633	372.6	377.3	378.383	5	bl	bl	3.216667	2	6	0	Right	1663	1663	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
