sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
190,TCU,=,70.66,8,18,80.32,-5,0,6,|,0  1,4,|,,69.99  1,95,|,70.27,192,|,71.93  1,72
191,Wofford,=,70.62,14,11,67.94,-289,0,0,|,0,3,|,,71.80  1,68,|,69.74,198,|,72.26  1,66
192,Detroit,=,70.61,11,17,72.92,-136,0,1,|,0,1,|,,71.55  1,72,|,70.66,185,|,68.23  2,37
193,Bowling Green,=,70.47,11,16,72.5,-155,0,1,|,0,3,|,,71.24  1,78,|,70.47,190,|,68.45  2,35
194,South Florida,=,70.42,12,16,75.54,-93,0,7,|,1  1,0,|,,69.91  1,99,|,69.87,196,|,72.27  1,65
195,Old Dominion,=,70.4,14,15,72.23,-162,0,0,|,0,3,|,,69.98  1,98,|,69.66,200,|,73.01  1,58
196,Charlotte,=,70.37,14,13,70.5,-210,1,0,|,2,2,|,,69.47  2,3,|,70.56,188,|,69.16  2,20
197,College of Charleston,=,70.18,13,16,70.05,-227,0,2,|,0,3,|,,69.16  2,13,|,70.58,186,|,68.01  2,42
198,Colgate,=,70.07,10,17,69.79,-234,0,1,|,0,1,|,,70.66  1,86,|,70.78,182,|,64.16  2,88
199,Cal Poly,=,70.02,8,17,73.77,-120,0,2,|,0,4,|,,69.40  2,7,|,70.49,189,|,67.05  2,58
200,Sam Houston St.,=,69.99,17,8,65.96,-345,0,0,|,0,1,|,,68.11  2,24,|,68.53,216,|,77.23,98
201,Northwestern St.,=,69.95,11,13,70.08,-225,0,0,|,0,3,|,,69.18  2,12,|,69.57,202,|,71.27  1,83
202,Montana,=,69.89,12,11,69.34,-247,0,0,|,0,1,|,,69.43  2,5,|,69.71,199,|,69.97  2,3
203,Utah Valley,=,69.85,15,10,69.73,-235,0,1,|,0,2,|,,70.07  1,93,|,68.41,220,|,74.86  1,32
204,North Texas,=,69.71,13,13,70.95,-196,0,0,|,0,3,|,,70.03  1,94,|,69.06,208,|,71.14  1,88
205,Northern Colorado,=,69.64,14,10,67.65,-300,0,0,|,1,0,|,,69.36  2,9,|,69.6,201,|,68.97  2,26
206,Bryant,=,69.61,16,13,68.93,-259,0,2,|,0,3,|,,68.34  2,22,|,69.15,207,|,71.74  1,75
207,East Carolina,=,69.59,12,13,69.59,-241,0,1,|,1,1,|,,69.19  2,11,|,69.34,204,|,70.00  2,2
208,St. Francis-NY,=,69.58,16,13,68.44,-274,0,1,|,0,1,|,,68.45  2,21,|,69.2,206,|,71.23  1,85
209,Northern Illinois,=,69.46,12,14,71.32,-185,0,1,|,0,2,|,,68.58  2,18,|,69.01,209,|,71.14  1,87
210,Bradley,=,69.45,12,18,71.77,-169,0,2,|,0,3,|,,68.22  2,23,|,69.27,205,|,70.31  1,97
211,Fordham,=,69.32,9,17,76.19,-82,0,1,|,0,8,|,,69.99  1,96,|,68.93,210,|,69.25  2,18
212,Miami-Ohio,=,69.27,11,14,72.8,-145,0,0,|,0,3,|,,69.21  2,10,|,68.33,224,|,72.33  1,64
