Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LO,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,started displaying and banged against glass wall,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,LB charged into Pod 3 from beds & clapped. DA displaced,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,Began displaying & hooting. Charged around and banged against door.,,,,,,,,
21,Sep,2012,RB,09:18,17,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,Displayed and then charged into door,,,,,,,,
21,Sep,2012,RB,09:52,31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sep,2012,RB,10:26,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,RB,09:54,18,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,RB,10:17,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,RB,11:07,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,RB,12:03,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,RB,14:39,35,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sep,2012,RB,09:23,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sep,2012,RB,10:01,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"RE charged around, LB & EV displaced",,,,,,,,
25,Sep,2012,RB,10:40,26,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
